Best_individual,Fitness_values,Time (hours)
"(np.float64(-9.210340371976182), 0.5)",0.8629726399548358,1.439723703596327e-05
"(np.float64(-9.210340371976182), 0.5)",0.8629726399548358,1.4722214804755316e-05
