Best_individual,Fitness_values,Time (hours)
"(np.float64(-6.301811833457387), 'logistic', 140, 100, 40)",0.11268389918342811,0.000443520016140408
"(np.float64(-6.301811833457387), 'logistic', 140, 100, 40)",0.11268389918342811,0.00014216396543714736
