hyperparameters,Accuracy_score
"('rbf', np.float64(1.0))",0.00833572822440401
"('poly', np.float64(6.2105263157894735))",-0.09050671382126085
"('linear', np.float64(11.421052631578947))",0.7985511889084831
"('rbf', np.float64(16.63157894736842))",0.10425849161884829
"('rbf', np.float64(21.842105263157894))",0.1396843027579663
"('poly', np.float64(27.052631578947366))",0.009031750136695132
"('linear', np.float64(32.26315789473684))",0.10673247490141224
"('rbf', np.float64(37.473684210526315))",0.17685952130069957
"('rbf', np.float64(42.68421052631579))",0.18764563397280307
"('linear', np.float64(47.89473684210526))",-1.1458743805849079
"('linear', np.float64(53.10526315789473))",-1.6660771482377112
"('linear', np.float64(58.315789473684205))",-2.5775568474847645
"('rbf', np.float64(63.526315789473685))",0.226289372785841
"('rbf', np.float64(68.73684210526315))",0.23009922424366003
"('poly', np.float64(73.94736842105263))",0.1146659429917091
"('linear', np.float64(79.1578947368421))",-5.144614349108817
"('poly', np.float64(84.36842105263158))",0.12486678002289739
"('poly', np.float64(89.57894736842105))",0.12775337029026942
"('rbf', np.float64(94.78947368421052))",0.2367939491247978
"('rbf', np.float64(100.0))",0.23387764723587381
"('rbf', np.float64(74.72838551732877))",0.23408632595934162
"('poly', np.float64(59.78033692525155))",0.08964717309124468
"('rbf', np.float64(53.10526315789473))",0.21298044511595401
"('poly', np.float64(39.59788482034337))",0.04083436102574173
"('rbf', np.float64(4.132470138775051))",0.030582077818251396
"('linear', np.float64(74.06849117560203))",-4.5200512910959585
