hyperparameters,Accuracy_score
"(34.400000000000006, np.float64(-9.210340371976182))",0.1770336946435016
"(34.400000000000006, np.float64(-8.846774304661333))",0.1770336946435016
"(93.2, np.float64(-8.483208237346483))",0.10086578455917791
"(186.3, np.float64(-8.119642170031634))",0.04060463056700844
"(191.20000000000002, np.float64(-7.756076102716785))",0.03813220848252233
"(171.6, np.float64(-7.392510035401935))",0.04830919165096806
"(196.1, np.float64(-7.028943968087086))",0.035703939511595145
"(112.8, np.float64(-6.665377900772237))",0.08514496057866316
"(58.900000000000006, np.float64(-6.301811833457387))",0.13709021873695798
"(9.9, np.float64(-5.938245766142538))",0.24413903870704928
"(93.2, np.float64(-5.574679698827689))",0.10086578455917791
"(44.2, np.float64(-5.2111136315128395))",0.15882511570174296
"(191.20000000000002, np.float64(-4.84754756419799))",0.03813220848252233
"(39.300000000000004, np.float64(-4.483981496883141))",0.16746749004211176
"(63.800000000000004, np.float64(-4.1204154295682915))",0.13091157497045847
"(49.1, np.float64(-3.7568493622534422))",0.15095808009777784
"(161.8, np.float64(-3.393283294938593))",0.053711367720424175
"(137.3, np.float64(-3.0297172276237436))",0.06835126966449498
"(191.20000000000002, np.float64(-2.6661511603088943))",0.03813220848252233
"(112.8, np.float64(-2.3025850929940455))",0.08514496057866316
"(156.9, np.float64(-6.266256687621595))",0.05650157971680589
"(39.300000000000004, np.float64(-5.774915898637811))",0.16746749004211176
"(78.5, np.float64(-4.971048180347719))",0.11463614548043921
"(171.6, np.float64(-5.268261632377147))",0.04830919165096806
"(14.8, np.float64(-5.013347231786959))",0.22827163756325902
"(14.8, np.float64(-5.938245766142538))",0.22827163756325902
